tick,0,1,2,3,4,5
3.21,-43,58,23,-69,4,67
3.22,-43,56,25,-68,2,67
3.23,-43,55,26,-68,1,68
3.24,-43,54,28,-68,0,68
3.25,-43,52,30,-67,-2,68
3.2600000000000002,-43,51,32,-67,-4,69
3.27,-43,50,33,-66,-6,69
3.2800000000000002,-43,48,35,-66,-7,69
3.29,-43,47,37,-65,-8,69
3.3000000000000003,-43,45,39,-64,-11,69
3.31,-42,44,40,-63,-13,69
3.3200000000000003,-42,43,41,-62,-14,69
3.33,-42,41,43,-62,-16,69
3.34,-42,39,45,-61,-18,69
3.35,-41,38,46,-60,-19,69
3.36,-41,37,47,-59,-20,69
3.37,-41,35,49,-58,-22,69
3.38,-40,33,50,-57,-24,69
3.39,-40,32,51,-56,-25,68
3.4,-40,30,53,-54,-28,68
3.41,-39,28,54,-53,-29,67
3.42,-39,27,55,-52,-30,67
3.43,-38,25,56,-51,-32,67
3.44,-38,24,57,-50,-34,66
3.45,-37,22,58,-48,-35,66
3.46,-37,20,59,-47,-36,65
3.47,-36,19,60,-45,-39,64
3.48,-36,17,61,-44,-40,63
3.49,-35,15,62,-43,-41,63
3.5,-34,13,63,-41,-43,62
3.5100000000000002,-34,12,64,-39,-45,61
3.52,-33,10,64,-38,-46,60
3.5300000000000002,-32,8,65,-36,-48,59
3.54,-32,7,66,-35,-49,58
3.5500000000000003,-31,5,66,-33,-50,57
3.56,-30,3,67,-31,-52,56
3.5700000000000003,-29,2,67,-29,-53,54
3.58,-29,0,68,-28,-54,53
3.59,-28,0,68,-27,-55,52
3.6,-27,-2,68,-24,-57,50
3.61,-26,-4,69,-23,-58,49
3.62,-25,-6,69,-21,-59,48
3.63,-24,-7,69,-19,-60,46
3.64,-23,-9,69,-19,-60,45
3.65,-22,-10,69,-17,-61,43
3.66,-21,-12,69,-15,-62,43
3.67,-20,-14,69,-13,-63,41
3.68,-19,-15,69,-12,-64,39
3.69,-18,-17,69,-10,-64,38
3.7,-17,-19,69,-8,-65,36
3.71,-16,-20,69,-6,-66,34
3.72,-15,-22,69,-5,-66,33
3.73,-14,-24,69,-3,-67,31
3.74,-12,-25,68,-1,-67,29
3.75,-11,-27,68,0,-68,28
3.7600000000000002,-10,-29,67,1,-68,26
3.77,-9,-31,67,3,-68,25
3.7800000000000002,-7,-32,66,4,-69,22
3.79,-6,-34,66,6,-69,21
3.8000000000000003,-4,-36,65,8,-69,19
3.81,-3,-38,64,10,-69,17
3.8200000000000003,-1,-40,63,12,-69,14
3.83,0,-42,62,14,-69,12
3.84,1,-43,61,16,-69,11
3.85,2,-45,60,18,-69,9
3.86,4,-47,59,20,-69,6
3.87,5,-49,58,22,-69,5
3.88,7,-51,57,24,-68,2
3.89,9,-52,55,27,-68,0
3.9,11,-54,53,29,-67,-1
3.91,13,-56,51,32,-67,-4
3.92,14,-58,49,34,-66,-6
3.93,16,-59,47,37,-65,-9
3.94,18,-61,44,40,-63,-12
3.95,20,-62,42,43,-62,-15
3.96,22,-64,39,45,-60,-18
3.97,24,-65,36,48,-59,-21
3.98,25,-66,33,50,-57,-24
3.99,27,-67,31,52,-55,-26
4.0,28,-68,28,54,-53,-29
