tick,0,1,2,3,4,5
290,18.71975974520705,17.54893393054399,-69.75996840712293,10.144802176582765,65.07799026967214,-37.68548108180782
295,17.356376661452657,19.626314506953534,-69.59313113628063,7.896159279258725,65.98451219890174,-35.530118751616854
300,16.01307767889099,21.64242227437128,-69.40098149549134,6.132640333457321,66.55140658205482,-34.17556025616432
305,14.591934114390437,23.672919459911196,-69.10568734736458,4.0935724874139225,67.21452648953189,-31.930834640013817
310,13.181066206461242,25.622375694634453,-68.78103515548672,2.188220562521348,67.76830871857638,-30.003230992425685
315,11.689017241658737,27.687249277856573,-68.38232485344986,0.25600667175522673,68.22397510972395,-27.8270229648043
320,10.257511774258527,29.555899990026383,-67.97541555197915,-1.3386076102923354,68.60238000440793,-26.80518862187605
325,8.609373972837265,31.837947809687545,-67.2464090542949,-4.065859418005164,69.09156985838725,-23.537427980985367
330,7.001427185366245,33.878202404774996,-66.66580827160521,-5.8220560452416485,69.35532271353388,-22.18436353148964
335,5.248230052092247,36.19059570053078,-65.65880845417696,-8.703346962638445,69.65677235510375,-18.791124396665012
340,3.5511391301431803,38.285701668380604,-64.85406583495228,-10.654048816808334,69.7831784165283,-17.038091004109024
345,1.699921122213953,40.54157347006989,-63.84302582398267,-12.93253327863924,69.86050275102951,-14.854956687645224
350,-0.15723086535088038,42.71921759886854,-62.72283162761781,-15.2897600133639,69.8819444997556,-12.540444853236277
355,-2.0138330131218267,44.89878507309535,-61.34581978925194,-17.937107657230975,69.75174041673483,-9.860066542915856
360,-3.903575922200513,47.03158728919323,-59.976356372279284,-20.422891355399518,69.49939363963205,-7.132235169083586
365,-5.853519072180052,49.17055788031246,-58.476200773493346,-22.755088214505985,69.32436544239047,-5.3539763645418965
370,-7.848113850947192,51.28071511061045,-56.88627468812596,-25.272059784746553,68.84379233646396,-2.5580228750936627
375,-9.915809333006608,53.43319521999875,-54.91868077887612,-28.00666500967676,68.34926399146869,-0.12595791690896974
380,-12.103148984666754,55.60546772229937,-52.629587597112256,-31.098749639753798,67.51071790466074,3.1603877225940735
385,-14.35015608571399,57.727363223174045,-50.15292350071984,-34.15972927749996,66.5575471354215,6.245092175646995
390,-16.508818482919914,59.67813092996869,-47.53607840000788,-37.2354017417391,65.35433325742068,9.53465022120092
395,-18.649875416524992,61.508597754257835,-44.649908992553875,-40.435035481312866,63.80179516014138,13.131441166701201
400,-20.84293557292711,63.25494498876812,-41.55921077003243,-43.57786892703742,62.07351850584378,16.562740101713924
405,-22.969672957671353,64.81841906291739,-38.359188114647154,-46.574846761993214,60.329750668128746,19.721748954957384
410,-25.052045048508774,66.20446141539577,-34.91577805090537,-49.5826704043519,58.14687355842767,23.381611662171423
415,-26.92404380986749,67.32280103145992,-31.61312381198517,-52.254235049037575,56.04227361520532,26.484990669354325
420,-28.878411409922812,68.3169270592514,-28.130356427883854,-54.82648636659807,53.528605658084146,29.95829531755627
425,-30.68906590815116,69.03103393912275,-23.91024477239743,-57.80407696388325,50.060099043944305,34.33985680847436
430,-32.29301217992336,69.51576785757469,-20.32150945990198,-60.02371257607123,46.96591349834979,37.928408061683875
435,-33.70262068486386,69.79981702122389,-17.04637102746419,-61.837743784730634,44.12238692941071,40.96595719750233
440,-35.065848863504286,69.88872729277617,-13.582732330252377,-63.55584456415626,41.068565879356385,44.022940299522666
445,-36.30380720108659,69.75269681214218,-10.039587346212908,-65.12432648758687,37.58695907664849,47.276405962602944
450,-37.41234120150625,69.49214038401547,-6.856463368983075,-66.30311324253267,34.60932458524338,49.83042693343358
455,-38.373545085100716,69.0410089244962,-3.7820527313163907,-67.29925578387343,31.68276377925346,52.1981357074408
460,-39.25357353480927,68.42204455134782,-0.44000824072835343,-68.21275746390366,27.869068578770403,55.12767354284594
465,-40.01663651005201,67.75153424880133,2.223872495763988,-68.77252738563125,25.601705198753006,56.6546455421589
470,-40.660179149970006,66.98542674676953,4.864387701500416,-69.20621012541196,22.866105028512344,58.46814092884899
475,-41.2443528896712,66.04291576618023,7.62409784417321,-69.55146575172606,20.020085637570528,60.20896251465179
480,-41.759941840031104,64.99706831887474,10.37436486715865,-69.77402773500066,17.18764993384658,61.7730719120371
485,-42.188516782145385,63.91649134929696,12.835082528628856,-69.86192936790428,14.778200179956134,63.00744037196134
490,-42.516638774279436,62.872023467086834,15.035749985134004,-69.85667419471572,12.479701523512936,64.10458373070654
495,-42.84780069880451,61.57490813601464,17.53788503770731,-69.76072068717747,10.15587398342479,65.07310245707552
500,-43.09125152755724,60.281947004776384,19.800358172372817,-69.59026603882924,7.869645615564664,65.99512286104185
505,-43.274698952362726,58.86510808398094,22.20775625358799,-69.32882282219094,5.494416868341787,66.79391858673426
510,-43.38924105674455,57.56742040227034,24.24331905653244,-69.0078352656701,3.607342885917088,67.35617809809325
